2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF_WEEKLY_EXPENSE
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF_EXP_MNGMNT_TASKS
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF_EXP_DATA_COLLCTN_TASKS
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF_CERT_TRAINING
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table PERSON
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table PERSON_RACE
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table LINK_PERSON_HOUSEHOLD
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table PARTICIPANT
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table LINK_PERSON_PARTICIPANT
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table PARTICIPANT_CONSENT
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table PARTICIPANT_VIS_CONSENT
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table PPG_DETAILS
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table PPG_STATUS_HISTORY
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table PROVIDER
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table LINK_PERSON_PROVIDER
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table INSTITUTION
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table LINK_PERSON_INSTITUTE
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table ADDRESS
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table TELEPHONE
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table EMAIL
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table EVENT
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table INSTRUMENT
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table CONTACT
